OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
694,2023,CKD,219,280,326,326,23,1239
695,2023,KLL,218,603,365,365,700,1350
696,2023,KTB,218,239,360,366,2911,12036
697,2023,PIP,217,323,348,351,698,2720
698,2023,KCQ,208,397,272,272,795,5900
699,2023,TCM,206,206,5,4,0,0
700,2023,LAL,202,202,4154,4151,151250236,0
701,2023,APF,197,197,66,63,0,0
702,2023,PTA,194,201,206,205,18106,7747
703,2023,LMA,192,215,129,129,6305,1428
704,2023,MTX,190,193,206,189,11442,0
705,2023,APC,186,248,49,45,0,0
706,2023,PML,184,189,102,101,484,300
707,2023,MNT,184,646,271,271,481,108
708,2023,PAM,183,183,4,5,0,0
709,2023,DCK,182,217,86,88,35352,0
710,2023,KPV,179,267,219,219,78,1374
711,2023,FFO,176,176,2,3,0,0
712,2023,CHU,176,245,243,244,117,1072
713,2023,DMA,174,174,1,3,0,0
714,2023,FID,172,172,38,40,0,0
715,2023,SYB,168,194,148,145,280,52
716,2023,DIO,166,166,46,46,1172,0
717,2023,AGC,161,161,55,55,0,0
718,2023,NUQ,160,164,49,51,0,0
719,2023,SLQ,159,197,243,242,1357,2281
720,2023,EFD,155,155,1,1,0,0
721,2023,APA,152,152,44,45,0,0
722,2023,RCA,149,149,3,2,251706,0
723,2023,BLM,149,149,41,45,0,0
724,2023,IKO,148,148,137,137,1864,1653
725,2023,OGD,147,280,32,33,196113,0
726,2023,PDK,145,145,33,37,0,0
727,2023,SVN,142,142,2,2,0,0
728,2023,IPT,139,139,103,96,18650,0
729,2023,DVT,139,139,34,32,0,0
730,2023,SDM,138,158,39,28,24660,0
731,2023,PWK,137,137,37,35,0,0
732,2023,TRM,127,132,40,40,0,0
733,2023,NV5,124,124,30,36,0,0
734,2023,PYM,124,136,43,31,0,0
735,2023,OXC,123,123,49,43,0,0
736,2023,PTD,123,127,85,84,366,234
737,2023,KOY,123,171,93,91,123,0
738,2023,MXY,122,128,94,94,1258,857
739,2023,BAD,120,120,6,4,5509,0
740,2023,KCL,114,202,212,212,47,3344
741,2023,NQX,113,113,1,2,0,0
742,2023,DJN,113,119,91,71,1910,0
743,2023,MIB,109,109,3,2,0,0
744,2023,DYS,108,108,3,2,4030,0
745,2023,BBX,108,108,34,33,0,0
746,2023,FXE,105,75,37,31,0,0
747,2023,LUR,103,121,61,61,19137,0
748,2023,PNE,100,100,26,27,0,0
749,2023,KCG,100,201,178,177,817,1780
750,2023,A29,100,100,44,45,0,0
751,2023,VAD,99,99,4,1,0,0
752,2023,OFF,97,97,1,1,0,0
753,2023,PDB,96,96,111,111,4982,2852
754,2023,MTP,95,95,51,62,0,0
755,2023,BDR,95,101,34,39,0,0
756,2023,UBF,93,93,28,29,0,0
757,2023,KKB,93,126,154,156,50,135
758,2023,SKW,92,110,152,158,9343,3401
759,2023,NYL,92,92,989,935,1297673,0
760,2023,L41,91,91,21,456,0,0
761,2023,HYL,90,105,205,211,5429,10547
762,2023,NKX,89,89,5,4,0,0
763,2023,MNZ,86,86,31,32,0,0
764,2023,ADW,84,84,8,9,0,0
765,2023,1AK,83,87,69,69,265,0
766,2023,SSC,81,81,4,,0,0
